1 calamondin
1 mangosteen
1 jackfruit
1 guanabana
1 pomelo
1 coconut
1 acai
1 acerola
1 bilberry
1 jabuticaba
1 kakadu
1 loquat
1 olive
1 soursop
1 saskatoon
1 salal
1 cloudberry
1 white
1 red
1 black
1 pink
1 horned
1 melon
1 ground
1 feijoa
1 che
1 aonori
1 wampee
1 breadfruit
1 pulasan
1 sapodilla
1 cherimoya
1 atemoia
1 maypop
1 longan
2 yuzu
2 lychee
2 dragon
2 cucamelon
2 kumquat
2 durian
2 banana
2 date
2 grape
2 fig
2 lemon
2 mango
2 orange
2 strawberry
2 peach
2 rambutan
2 pear
2 blueberry
2 blackberry
2 raspberry
2 apricot
2 nectarine
2 cantaloupe
2 pomegranate
2 goji
2 sea
2 buckthorn
2 salmonberry
2 yellow
2 quince
2 cranberry
2 gooseberry
2 kiwifruit
2 guava
2 starfruit
2 tamarind
2 papaya
2 sapote
2 gac
2 miracle
3 pawpaw
3 mulberry
3 persimmon
3 honeydew
3 plum
3 cherry
4 watermelon
4 tangerine
4 currant
4 kiwi
4 elderberry
4 passion
6 boysenberry
6 berry
10 fruit
